Title,Year,Revenue,Rating,Critics ratings,Season,budget,genres,cast_popularity,critics_missing,log_revenue,log_budget,revenue_class
The Change-Up,2011,75450437,6.3,39.0,summer,52000000.0,Comedy,0.6636380592125259,0,18.13898654833027,17.76675429577647,High
Larry Crowne,2011,75055070,6.1,41.0,summer,30000000.0,"Comedy, Romance, Drama",1.351695284069237,0,18.13373268204892,17.216707972959764,High
Diary of a Wimpy Kid: Rodrick Rules,2011,72526996,6.6,51.0,spring,18000000.0,"Family, Comedy",0.5557924654575,0,18.099469422925296,16.705882371415992,High
The Dilemma,2011,69721966,5.3,46.0,winter,70000000.0,"Comedy, Drama",0.46275567872121215,0,18.060025991069526,18.064005814299346,High
Something Borrowed,2011,65100369,5.8,36.0,spring,35000000.0,"Comedy, Drama, Romance",0.6608318063521091,0,17.991440790726394,17.370858648025116,High
The Darkest Hour,2011,64626786,4.9,18.0,winter,30000000.0,"Horror, Action, Thriller, Science Fiction",0.7648820499641176,0,17.984139542248087,17.216707972959764,High
Hanna,2011,63782078,6.7,65.0,spring,30000000.0,"Action, Thriller, Adventure",1.1376741818159049,0,17.970982815440145,17.216707972959764,High
Footloose Original Release,2011,63543328,6.4,51.0,unknown,15000000.0,Comedy,0.7815580729307567,1,17.967232577627115,16.52356082573315,High
Conan the Barbarian,2011,63523283,5.2,36.0,summer,90000000.0,"Adventure, Fantasy, Action",0.5477093243866495,0,17.96691707381863,18.31532023940565,High
Colombiana,2011,63458440,6.4,45.0,summer,40000000.0,"Action, Thriller, Crime, Drama",0.6956469051435317,0,17.965895777161396,17.50439003707821,High
From Up on Poppy Hill,2011,61459425,7.4,71.0,summer,22000000.0,"Animation, Drama",0.4574186983701459,0,17.933887775215254,16.906553056777135,High
What a Beautiful Day,2011,60661950,6.3,51.0,winter,6000000.0,Comedy,0.5337384140122859,1,17.920827222582535,15.607270193858982,High
One Day,2011,59389433,7.0,48.0,summer,15000000.0,"Drama, Romance",0.7801424479356488,0,17.899626889722686,16.52356082573315,High
Beginning of the Great Revival,2011,58309289,3.1,29.0,summer,0.0,"Drama, Action, History, War",1.2863751826018943,0,17.881271986825116,0.0,High
The Tree of Life,2011,58189744,6.8,85.0,spring,32000000.0,"Drama, Fantasy",0.3544956964958234,0,17.879219694426997,17.281246492014,High
Killer Elite,2011,57084522,6.4,44.0,fall,66000000.0,"Action, Adventure, Thriller",0.5975089274182352,0,17.860043587097245,18.005165315142214,High
Tempest 3D,2011,57082491,6.4,51.0,unknown,15000000.0,Comedy,0.7815580729307567,1,17.860008007643753,16.52356082573315,High
Silent Hill: Revelation,2011,55362705,4.9,16.0,fall,15000000.0,Comedy,0.7815580729307567,0,17.8294167481369,16.52356082573315,High
Extremely Loud & Incredibly Close,2011,55247881,6.9,46.0,winter,40000000.0,Drama,0.6844753920545437,0,17.827340562785707,17.50439003707821,High
Madea's Big Happy Family,2011,54161287,4.9,45.0,spring,25000000.0,"Comedy, Drama",0.8352203892164076,0,17.807476967674,17.034386422832473,High
A Ghost of a Chance,2011,53982636,6.9,51.0,fall,0.0,"Mystery, Comedy, Drama, Fantasy",1.8343876471309044,1,17.804173015787395,0.0,High
Sunny,2011,51116421,7.7,51.0,spring,3550000.0,"Drama, Comedy",0.6936398771289207,1,17.749616373408713,15.0824584431417,High
War of the Arrows,2011,50587661,7.1,51.0,fall,8000000.0,"Drama, Action, History",1.6742898733374583,1,17.739218270533257,15.894952224644102,High
Kokowääh,2011,50447784,6.2,51.0,unknown,15000000.0,Comedy,0.7815580729307567,1,17.73644939894375,16.52356082573315,High
Winnie the Pooh,2011,49871429,7.1,74.0,summer,30000000.0,"Animation, Family, Adventure, Comedy",1.848077164503288,0,17.72495885166504,17.216707972959764,High
Arthur,2011,48147945,5.7,36.0,spring,40000000.0,"Comedy, Romance",0.7434715817857034,0,17.68978903693922,17.50439003707821,High
Soul Surfer,2011,47120948,7.0,53.0,spring,18000000.0,"Family, Drama",0.35274818363016686,0,17.66822823717271,16.705882371415992,High
The Debt,2011,45636368,6.8,65.0,summer,20000000.0,"Drama, Thriller",2.6095091917086806,0,17.636215522387506,16.811242881518265,Low
Beastly,2011,43202283,5.5,40.0,spring,17000000.0,"Romance, Fantasy, Drama",0.766549168165165,0,17.58140392218712,16.648723960844016,Low
Detective Conan: Quarter of Silence,2011,42808575,6.6,51.0,spring,0.0,"Animation, Action, Crime, Mystery",2.23855806022773,1,17.572249014311645,0.0,Low
Shaolin,2011,42741494,6.8,53.0,fall,29000000.0,"Action, Drama",0.7846853640700925,0,17.57068078618597,17.182806422433504,Low
Born to Be Wild,2011,41644475,6.4,51.0,spring,0.0,"Documentary, Adventure",4.8060687385263625,1,17.544679288729494,0.0,Low
Shark Night,2011,41363927,4.1,22.0,fall,0.0,Documentary,0.7815580729307567,0,17.53791975464145,0.0,Low
50/50,2011,41097853,7.6,72.0,fall,8000000.0,"Comedy, Drama",0.8901367356633518,0,17.531466463991336,15.894952224644102,Low
Fright Night,2011,41002607,6.4,64.0,summer,30000000.0,"Horror, Comedy",1.0327865228194282,0,17.529146232401665,17.216707972959764,Low
Drive Angry,2011,40909909,5.4,44.0,winter,50000000.0,"Fantasy, Thriller, Action, Crime",0.8299730956690841,0,17.52688288995205,17.72753358339242,Low
30 Minutes or Less,2011,40662632,6.0,49.0,summer,28000000.0,"Action, Adventure, Comedy",0.7779605875704332,0,17.520820120585324,17.147715103853763,Low
Gantz,2011,40568961,6.4,51.0,fall,0.0,"Horror, Action, Science Fiction",0.676860498083453,1,17.51851384944738,0.0,Low
The Roommate,2011,40492652,4.8,23.0,winter,16000000.0,"Thriller, Drama, Horror",0.3693166869277511,0,17.516631108213048,16.588099342704055,Low
SP: The Motion Picture II,2011,40255101,6.4,51.0,spring,0.0,"Action, Drama, Thriller",1.7773818593951936,1,17.510747311559737,0.0,Low
Dream House,2011,39984400,6.0,35.0,fall,50000000.0,"Mystery, Drama, Thriller",0.9093655665564464,0,17.503999961018184,17.72753358339242,Low
Monte Carlo,2011,39782683,5.8,43.0,summer,20000000.0,"Adventure, Comedy, Romance",0.6150045044188298,0,17.49894230020503,16.811242881518265,Low
Kaibutsu-kun: The Movie,2011,39766344,6.4,51.0,fall,0.0,"Comedy, Fantasy",1.381174437248357,1,17.498531509515686,0.0,Low
Mars Needs Moms,2011,39233678,5.4,49.0,spring,150000000.0,"Adventure, Animation, Family",1.2486291626835262,0,17.48504609405884,18.826145858727198,Low
The Crown Jewels,2011,39000000,5.9,51.0,summer,0.0,"Drama, Romance",0.30457010421532077,1,17.479072229734946,0.0,Low
Don't Be Afraid of the Dark,2011,38269529,5.5,56.0,summer,25000000.0,"Fantasy, Horror, Thriller",0.721110874082338,0,17.460164576166292,17.034386422832473,Low
Jumping the Broom,2011,38158601,5.7,56.0,spring,6600000.0,Comedy,1.2266199281264019,0,17.457261768653147,15.702580358511794,Low
One for the Money,2011,38080789,5.3,22.0,winter,40000000.0,"Action, Comedy, Crime",1.1670961834238243,0,17.455220513470568,17.50439003707821,Low
The Eagle,2011,37989684,6.2,55.0,winter,25000000.0,"Adventure, Drama",1.6204381822453386,0,17.45282523347373,17.034386422832473,Low
A Very Harold & Kumar Christmas,2011,36192775,6.2,61.0,fall,19000000.0,Comedy,0.48367760317813807,0,17.4043700988706,16.759949589762293,Low
Ra.One,2011,35911689,5.0,60.0,fall,24000000.0,"Adventure, Action, Science Fiction",1.0521248959690108,0,17.396573427194575,16.993564429978885,Low
Courageous,2011,35185884,6.9,42.0,fall,1000000.0,Drama,0.09298908856185223,0,17.376155565830423,13.815511557963774,Low
My Week with Marilyn,2011,35057696,6.9,65.0,fall,6400000.0,"Drama, Romance",1.1555587184984686,0,17.37250574790681,15.671808704579888,Low
The Sitter,2011,34942188,5.6,39.0,winter,25000000.0,Comedy,0.6451683568211993,0,17.369205510965323,17.034386422832473,Low
Jane Eyre,2011,34710627,7.3,76.0,spring,13000000.0,"Drama, Romance",1.0365446524130002,0,17.36255648044295,16.380459992348886,Low
The Skin I Live In,2011,33678406,7.6,70.0,fall,13000000.0,"Drama, Horror, Mystery, Thriller",0.9380025625294591,0,17.332367448120046,16.380459992348886,Low
Gantz: Perfect Answer,2011,33672515,6.2,55.0,spring,0.0,"Action, Mystery, Science Fiction, Horror",0.7460665371424333,1,17.33219251362019,0.0,Low
Punch,2011,33556725,7.3,55.0,fall,4160000.0,"Drama, Comedy",1.3144592922920093,1,17.328747878189304,15.241025872622032,Low
Detective K: Secret of Virtuous Widow,2011,32358664,6.3,55.0,winter,0.0,"Mystery, Action, History, Comedy, Crime",1.8047079809267694,1,17.292392394668216,0.0,Low
Bodyguard,2011,31516209,4.8,41.0,summer,0.0,"Drama, Action, Romance",1.1507726252157349,0,17.266012574607657,0.0,Low
The Thing,2011,31505287,6.3,49.0,fall,35000000.0,"Horror, Science Fiction, Mystery",1.0394367009674685,0,17.265665962722636,17.370858648025116,Low
I Don't Know How She Does It,2011,31410151,5.0,38.0,fall,24000000.0,"Romance, Comedy",0.7233979136687646,0,17.262641710726296,16.993564429978885,Low
"All's Well, Ends Well 2011",2011,31335572,4.9,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.26026452773509,15.86963441986494,Low
Vysotsky. Thank You for Being Alive,2011,31016553,6.4,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.250031619922158,15.86963441986494,Low
Silenced,2011,30996130,8.0,55.0,fall,2200000.0,Drama,1.3005814016346848,1,17.249372948208833,14.603968372873895,Low
African Cats,2011,30857747,7.5,61.0,spring,5000000.0,"Documentary, Adventure",9.818469805057042,0,17.24489842751194,15.424948670398354,Low
What's Your Number?,2011,30426096,6.1,35.0,fall,20000000.0,"Comedy, Romance",0.8502720240165539,0,17.23081125206297,16.811242881518265,Low
A Dangerous Method,2011,30286325,6.4,76.0,fall,15000000.0,Drama,0.5584221701922022,0,17.226206881490203,16.52356082573315,Low
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,2011,30236973,8.1,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.22457603813109,15.86963441986494,Low
Eternal Moment,2011,30186159,5.6,55.0,winter,0.0,"Romance, Drama",1.6796284839963858,1,17.22289409915788,0.0,Low
The Rum Diary,2011,30134958,6.1,56.0,fall,45000000.0,"Comedy, Drama",1.6434063698287382,0,17.221196484354138,17.622173069956816,Low
My Own Swordsman,2011,30082188,5.2,55.0,winter,0.0,"Action, Comedy",1.1429513808969436,1,17.219443827004497,0.0,Low
Carnage,2011,30035601,7.1,61.0,winter,25000000.0,"Comedy, Drama",1.5201251306871795,0,17.21789396934837,17.034386422832473,Low
You Are the Apple of My Eye,2011,29843025,7.5,55.0,summer,0.0,"Romance, Comedy, Drama",0.10601801424382071,1,17.211461735665143,0.0,Low
Torrente 4: Lethal Crisis,2011,29737384,5.4,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.207915566414794,15.86963441986494,Low
The Sorcerer and the White Snake,2011,29649716,5.8,41.0,fall,0.0,"Action, Fantasy",0.6043119984764277,0,17.20496313867443,0.0,Low
Unfair: The Answer,2011,29166054,6.5,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.18851609101126,15.86963441986494,Low
Dragon,2011,29140858,7.0,62.0,summer,0.0,"Drama, Action, Thriller",1.3562817186649379,0,17.187651836677087,0.0,Low
Yolki 2,2011,28719002,6.2,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.173069587057057,15.86963441986494,Low
Your Highness,2011,28013733,5.5,31.0,spring,49900000.0,"Comedy, Fantasy, Adventure, Action, Romance",1.3498899204063846,0,17.148205447883676,17.725531580761828,Low
Love Strikes!,2011,27707149,6.8,55.0,fall,0.0,"Comedy, Romance, Drama",0.9800923428537252,1,17.137201060593306,0.0,Low
The Women on the 6th Floor,2011,27533970,7.1,52.0,fall,0.0,Comedy,0.5849232313437551,0,17.130931109361207,0.0,Low
Letters to Santa,2011,26923513,7.1,55.0,fall,0.0,"Comedy, Romance",0.09360847064937816,1,17.108510589140135,0.0,Low
A Monster in Paris,2011,26710392,6.7,55.0,fall,25000000.0,"Adventure, Animation, Comedy, Family, Fantasy",1.4120651815155403,1,17.100563298568314,17.034386422832473,Low
Ivan Tsarevich & the Grey Wolf,2011,26420475,6.2,55.0,winter,0.0,"Animation, Family",0.7252400981898135,1,17.089649873550204,0.0,Low
Apollo 18,2011,26236153,5.2,24.0,fall,5000000.0,"Horror, Science Fiction, Thriller",0.8534325820347188,0,17.082648941175762,15.424948670398354,Low
Our Idiot Brother,2011,25804448,6.4,60.0,summer,5000000.0,"Comedy, Drama",1.0767936495989197,0,17.066057476885923,15.424948670398354,Low
Eyyvah Eyvah 2,2011,24792348,6.6,55.0,winter,0.0,Comedy,0.32030187074829936,1,17.02604565547229,0.0,Low
Ready,2011,24663361,5.0,55.0,summer,5800000.0,"Action, Comedy",1.0840943873664461,1,17.02082938055218,15.573368647930426,Low
In His Chart,2011,23384864,6.5,55.0,summer,0.0,Drama,1.431797661737896,1,16.967599576194093,0.0,Low
Warrior,2011,23308615,8.1,71.0,fall,25000000.0,"Drama, Action",0.4654689598574006,0,16.96433363558988,17.034386422832473,Low
Hoodwinked Too! Hood vs. Evil,2011,23167844,4.7,20.0,spring,7800000.0,Comedy,0.7823286698178114,0,16.95827588388277,15.86963441986494,Low
Young Adult,2011,22939027,6.3,71.0,winter,12000000.0,"Comedy, Drama",0.9358386056106748,0,16.948350297364144,16.300417291085605,Low
Andalucia: Revenge of the Goddess,2011,22929221,6.5,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,16.947922724908278,15.86963441986494,Low
A Separation,2011,22926076,8.3,95.0,winter,5000000.0,Drama,0.6478021978021979,0,16.947785554283573,15.424948670398354,Low
Qualunquemente,2011,22862029,6.1,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,16.94498801378815,15.86963441986494,Low
Friends: Naki on the Monster Island,2011,22537428,6.3,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,16.9306879961837,15.86963441986494,Low
Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,2011,22313925,6.0,55.0,summer,0.0,"Action, Adventure, History, Science Fiction",0.44547402085959537,1,16.920721525826096,0.0,Low
Gooische vrouwen,2011,22194574,6.2,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,16.91535844761008,15.86963441986494,Low
The Immature,2011,21858834,6.1,55.0,winter,0.0,Comedy,0.42492655340763524,1,16.900115745605408,0.0,Low
Pleasant Goat and Big Big Wolf 3,2011,21847806,5.1,55.0,winter,0.0,"Animation, Adventure, Comedy",0.6375,1,16.89961110833613,0.0,Low
Quick,2011,21561934,5.7,55.0,summer,0.0,"Action, Crime, Thriller, Comedy",1.416080031772761,1,16.886440049514,0.0,Low
Red Dog,2011,21185162,7.3,55.0,summer,5.0,"Drama, Comedy, Family",1.109215076430011,1,16.868811636136396,1.791759469228055,Low
Vicky and the Treasure of the Gods,2011,20796153,5.5,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,16.85027862372857,15.86963441986494,Low
K-On! The Movie,2011,20790997,7.7,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,16.850030662530052,15.86963441986494,Low
The Front Line,2011,20629645,7.3,59.0,winter,10000000.0,"Drama, Action, War",1.4865511417340178,0,16.842239725423717,16.118095750958314,Low
Polisse,2011,20590872,7.3,74.0,spring,0.0,"Drama, Crime",0.26032047198655894,0,16.840358477328074,0.0,Low
Hollywoo,2011,20587850,5.1,55.0,winter,0.0,Comedy,0.369145841937805,1,16.840211702503026,0.0,Low
Scabbard Samurai,2011,20251745,6.8,55.0,summer,0.0,"Action, Drama, Comedy",1.4658157735354225,1,16.82375157002212,0.0,Low
Kaiji 2: The Ultimate Gambler,2011,19971259,6.3,55.0,fall,0.0,"Thriller, Drama, Mystery",3.343913871376542,1,16.80980479804358,0.0,Low
Toy Story 3,2010,1066969703,8.3,92.0,summer,200000000.0,"Animation, Family, Comedy",1.756282418350023,0,20.78808841523593,19.11382792951231,High
Alice in Wonderland,2010,1025467110,6.4,53.0,spring,200000000.0,"Family, Fantasy, Adventure",1.16772056697026,0,20.74841406377763,19.11382792951231,High
Harry Potter and the Deathly Hallows: Part 1,2010,960283305,7.7,65.0,fall,250000000.0,"Adventure, Fantasy",1.1273822907625277,0,20.68273890930631,19.33697147982652,High
Inception,2010,828258695,8.8,74.0,summer,160000000.0,"Action, Science Fiction, Adventure",0.8006087496703286,0,20.53483609833456,18.8906843794481,High
Shrek Forever After,2010,752600867,6.3,58.0,spring,165000000.0,"Comedy, Adventure, Fantasy, Animation, Family",2.1773362603232327,0,20.43904558945805,18.92145603792546,High
The Twilight Saga: Eclipse,2010,698491347,5.1,58.0,summer,68000000.0,"Adventure, Fantasy, Drama, Romance",0.9307573124871416,0,20.364433350041985,18.035018277846262,High
Iron Man 2,2010,623933331,6.9,57.0,spring,200000000.0,"Adventure, Action, Science Fiction",0.897064579287093,0,20.25155408088234,19.11382792951231,High
Tangled,2010,591794936,7.7,71.0,fall,260000000.0,"Animation, Family, Adventure",2.3712275401472613,0,20.198670742638633,19.376192192825954,High
Despicable Me,2010,543239815,7.6,72.0,summer,69000000.0,"Family, Comedy, Animation, Science Fiction, Crime",1.7392456626957584,0,20.113061430491594,18.049617077054286,High
How to Train Your Dragon,2010,494878759,8.1,75.0,spring,165000000.0,"Fantasy, Adventure, Animation, Family",2.9222697799954767,0,20.019823361239958,18.92145603792546,High
Clash of the Titans,2010,493214993,5.8,39.0,spring,125000000.0,"Adventure, Fantasy, Action",1.0074752454032032,0,20.0164557302522,18.643824303266577,High
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,415686217,6.3,53.0,winter,155000000.0,"Adventure, Family, Fantasy",0.7594383159656026,0,19.845441249956647,18.858935681335133,High
The King's Speech,2010,410867243,8.0,88.0,fall,15000000.0,"Drama, History",1.0467350915692057,0,19.833780712983145,16.52356082573315,High
Tron: Legacy,2010,400062763,6.8,49.0,winter,82500000.0,Comedy,0.7982584496190753,0,19.80713200276317,18.228308863426122,High
The Karate Kid,2010,359126022,6.3,61.0,summer,40000000.0,"Action, Adventure, Drama, Family",0.9453678902739435,0,19.699183923849994,17.50439003707821,High
Black Swan,2010,329398046,8.0,79.0,winter,13000000.0,"Drama, Thriller, Horror",0.4587469334773513,0,19.61277744672849,16.380459992348886,High
Megamind,2010,321885765,7.3,63.0,fall,130000000.0,"Animation, Action, Comedy, Family, Science Fiction",2.5744510414027566,0,19.589707276589902,18.683045016112164,High
Robin Hood,2010,321669741,6.6,53.0,spring,200000000.0,"Action, Adventure, History, Drama",0.9156631844257714,0,19.58903593121121,19.11382792951231,High
The Last Airbender,2010,319713881,3.9,20.0,summer,150000000.0,"Action, Adventure, Fantasy",0.5830862026832763,0,19.58293703504545,18.826145858727198,High
Little Fockers,2010,310650585,5.5,27.0,winter,100000000.0,"Comedy, Romance",0.7980511821204346,0,19.55417932083949,18.420680753952364,High
Resident Evil: Afterlife,2010,300228084,5.8,37.0,fall,60000000.0,"Action, Adventure, Horror, Science Fiction",0.7984657171177161,0,19.520053027084842,17.909855136853043,High
Shutter Island,2010,294804195,8.2,63.0,winter,80000000.0,"Drama, Thriller, Mystery",1.100976872206441,0,19.501821951556725,18.197537205138154,High
Salt,2010,293503354,6.5,65.0,summer,110000000.0,"Action, Mystery, Thriller",0.5203507769850254,0,19.497399628172204,18.5159909328476,High
Sex and the City 2,2010,290745055,4.6,27.0,spring,100000000.0,"Comedy, Drama, Romance",0.5712994999764314,0,19.48795734491925,18.420680753952364,High
The Tourist,2010,278780441,6.0,37.0,winter,100000000.0,"Action, Thriller, Romance",0.7036129357538583,0,19.44593508374435,18.420680753952364,High
The Expendables,2010,274470394,6.4,45.0,summer,80000000.0,"Thriller, Adventure, Action",0.7492078141355996,0,19.43035396246004,18.197537205138154,High
Grown Ups,2010,271430189,6.0,30.0,summer,80000000.0,Comedy,0.9508358531489789,0,19.41921553720361,18.197537205138154,High
Knight and Day Original Release,2010,261930436,6.7,58.0,unknown,82500000.0,Comedy,0.7982584496190753,1,19.38358951883839,18.228308863426122,High
True Grit,2010,252276927,7.6,80.0,winter,38000000.0,"Drama, Adventure, Western",1.296838096661667,0,19.346037962739334,17.453096744006448,High
Gulliver's Travels,2010,237382724,4.9,33.0,winter,112000000.0,"Family, Comedy, Adventure, Fantasy",0.8239833260630925,0,19.285184270011115,18.53400943818794,High
Percy Jackson & the Olympians: The Lightning Thief,2010,226497209,5.9,47.0,winter,95000000.0,"Adventure, Fantasy, Family",0.6064253194668784,0,19.238243184930703,18.36938746009113,High
The Social Network,2010,224920315,7.8,95.0,fall,40000000.0,Drama,0.3270239755766171,0,19.23125674633127,17.50439003707821,High
Valentine's Day,2010,216485654,5.8,34.0,winter,52000000.0,"Comedy, Romance",0.5790161419034197,0,19.193034844551107,17.76675429577647,High
The Sorcerer's Apprentice,2010,215283742,6.1,46.0,summer,150000000.0,"Fantasy, Adventure, Action",0.6798282473436215,0,19.187467450891013,18.826145858727198,High
Due Date,2010,211780824,6.5,51.0,fall,65000000.0,"Comedy, Drama",1.3504995365480572,0,19.171062453510984,17.989897843244528,High
Eat Pray Love,2010,204594016,5.9,50.0,summer,60000000.0,"Drama, Romance",0.5290998193811729,0,19.13653816862999,17.909855136853043,High
Yogi Bear,2010,203509374,4.6,35.0,winter,80000000.0,"Comedy, Family, Animation, Adventure",1.0403988829862851,0,19.13122263058186,18.197537205138154,High
RED,2010,199006387,7.0,60.0,fall,58000000.0,"Action, Adventure, Comedy, Crime, Thriller",0.8759162266928139,0,19.10884748267607,17.87595358575207,High
Paranormal Activity 2,2010,177512032,5.7,53.0,fall,3000000.0,"Horror, Mystery",1.0482914673046253,0,18.994548956131297,14.914123179965662,High
The A-Team,2010,177238796,6.7,47.0,summer,110000000.0,"Action, Comedy, Crime",0.7076988548757538,0,18.993008516865622,18.5159909328476,High
Jackass 3D,2010,171685792,7.0,56.0,fall,20000000.0,"Comedy, Documentary, Action",0.35585163059568664,0,18.96117657928763,16.811242881518265,High
The Other Guys,2010,170458922,6.7,64.0,summer,100000000.0,"Comedy, Action",0.96561842884018,0,18.954004904840648,18.420680753952364,High
Unstoppable,2010,167805466,6.8,69.0,fall,100000000.0,"Action, Thriller",0.5235926362832174,0,18.93831593191957,18.420680753952364,High
Step Up 3D,2010,159291809,6.2,45.0,summer,30000000.0,"Drama, Romance",0.16881275807631346,0,18.886248361129233,17.216707972959764,High
The Book of Eli,2010,157107755,6.8,53.0,winter,80000000.0,"Action, Thriller, Science Fiction",0.8683972475939615,0,18.872442471835335,18.197537205138154,High
The Town,2010,154026136,7.5,74.0,fall,37000000.0,"Crime, Drama, Thriller",0.5064142060383805,0,18.85263286675618,17.426428497635523,High
Date Night,2010,152263880,6.3,56.0,spring,55000000.0,"Comedy, Action, Adventure",0.9605784147248431,0,18.841125632812123,17.822843761378564,High
The Secret World of Arrietty,2010,148968761,7.6,80.0,summer,23000000.0,"Fantasy, Animation, Family",2.6722009895928793,0,18.81924719092318,16.951004817371683,High
Legend of the Guardians: The Owls of Ga'Hoole,2010,140073390,6.9,53.0,fall,80000000.0,"Animation, Adventure, Family, Fantasy",1.7974748232044933,0,18.7576770646461,18.197537205138154,High
The Wolfman,2010,139789765,5.9,43.0,winter,150000000.0,Horror,0.5342245275337263,0,18.75565018050643,18.826145858727198,High
The Bounty Hunter,2010,136333522,5.6,22.0,spring,40000000.0,"Action, Comedy, Romance",0.9656663460790035,0,18.730614816536043,17.50439003707821,High
Saw 3D,2010,136150434,5.5,24.0,fall,17000000.0,"Horror, Crime",0.4520523589805488,0,18.729270972084446,16.648723960844016,High
Wall Street: Money Never Sleeps,2010,134748021,6.2,59.0,fall,70000000.0,"Drama, Crime",0.871874923364191,0,18.718917088610393,18.064005814299346,High
The Adjustment Bureau,2010,127869379,7.0,60.0,spring,50200000.0,"Science Fiction, Thriller, Romance",0.6204761183269534,0,18.666519832101162,17.731525604582277,High
Predators,2010,127233108,6.4,51.0,summer,40000000.0,"Science Fiction, Action, Thriller",2.3544593009316164,0,18.661531465881005,17.50439003707821,High
A Nightmare on Elm Street,2010,115694863,5.2,35.0,spring,35000000.0,"Horror, Mystery, Thriller",0.5824621738510536,0,18.566466800513098,17.370858648025116,High
Dear John,2010,114991723,6.3,43.0,winter,25000000.0,"Drama, Romance, War",0.7390360759263441,0,18.560370718520513,17.034386422832473,High
Cats & Dogs: The Revenge of Kitty Galore,2010,112483764,4.4,30.0,summer,85000000.0,"Family, Adventure, Comedy, Fantasy, Action",1.515704817219337,0,18.538319458083787,18.258161826219297,High
Tooth Fairy,2010,112462508,5.1,36.0,winter,48000000.0,"Comedy, Family, Fantasy",0.8652874192901342,0,18.538130470734185,17.6867115897055,High
Sanctum,2010,108609310,5.9,42.0,winter,30000000.0,"Action, Thriller",0.8547074242677632,0,18.503267698437185,17.216707972959764,High
Harmony,2010,107056263,7.5,52.0,winter,0.0,"Drama, Music",1.2814660353469578,1,18.488865086000796,0.0,High
Hereafter,2010,106956330,6.5,56.0,fall,50000000.0,"Drama, Fantasy",0.748211125367654,0,18.48793118762661,17.72753358339242,High
Life as We Know It,2010,105734416,6.5,39.0,fall,30000000.0,Comedy,0.7696914405427404,0,18.47644100805856,17.216707972959764,High
Let the Bullets Fly,2010,104723314,7.3,66.0,winter,0.0,"Action, Comedy",1.5015671424001693,0,18.46683233490904,0.0,High
Love & Other Drugs,2010,102820008,6.7,55.0,fall,30000000.0,"Drama, Comedy, Romance",0.5084103101472659,0,18.448490532123238,17.216707972959764,High
Aftershock,2010,100293273,7.5,52.0,fall,25000000.0,Drama,1.5884989909238625,1,18.42360919186009,17.034386422832473,High
Umizaru 3: The Last Message,2010,98663381,5.9,52.0,fall,0.0,"Action, Drama",2.117867415341564,1,18.407224432525542,0.0,High
Killers,2010,98159963,5.5,21.0,summer,75000000.0,"Action, Comedy, Thriller, Romance",0.743289137495723,0,18.402108991618697,18.132998684833918,High
Kick-Ass,2010,96188903,7.6,66.0,spring,28000000.0,"Action, Crime",0.8968259884423886,0,18.381824565948072,17.147715103853763,High
Nanny McPhee Returns,2010,93251121,6.1,52.0,unknown,30000000.0,Comedy,0.7696914405427404,0,18.350806648587394,17.216707972959764,High
Get Him to the Greek,2010,91720255,6.3,65.0,summer,40000000.0,"Adventure, Comedy, Music",0.48152150624969525,0,18.33425380705344,17.50439003707821,High
Burlesque,2010,89519773,6.4,47.0,fall,55000000.0,"Drama, Romance",0.7175728262856776,0,18.309970097389243,17.822843761378564,High
The Last Song,2010,89137047,6.0,33.0,spring,20000000.0,"Drama, Family, Romance",0.9642953572057456,0,18.305685608488282,16.811242881518265,High
Dinner for Schmucks,2010,86855739,5.9,56.0,summer,69000000.0,Comedy,1.9939466125179903,0,18.279759139428904,18.049617077054286,High
Bayside Shakedown 3: Set the Guys Loose,2010,85347374,6.4,52.0,summer,0.0,"Action, Drama, Comedy",0.6443851315485298,1,18.262240251019982,0.0,High
Marmaduke,2010,83761844,4.4,30.0,summer,50000000.0,"Family, Comedy",1.0758393501684396,0,18.24348815150459,17.72753358339242,High
Piranha 3D,2010,83188165,5.5,53.0,summer,24000000.0,"Comedy, Horror",0.5370567741780857,0,18.236615660098074,16.993564429978885,High
Oceans,2010,83090556,6.4,52.0,spring,80000000.0,"Documentary, Family, Drama",12.149333333333335,1,18.235441619193132,18.197537205138154,High
Blades of Blood 2010 Re-release,2010,82177196,6.4,52.0,unknown,30000000.0,Comedy,0.7696914405427404,1,18.224388412782357,17.216707972959764,High
Edge of Darkness,2010,81126522,6.6,55.0,winter,80000000.0,"Crime, Drama, Mystery, Thriller",0.9547369766211227,0,18.21152050631,18.197537205138154,High
